"SUB","Subject","LOCATION","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MATHTREND_T1A","Mean score in mathematics","AUS","Australia","2012","2012","AVSCORE","Average score","0","units",,,504.1507663,,
"MATHTREND_T1B","Annualised change in mathematics across PISA assessments","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-2.20563639,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2006","2006","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,534201.228,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2007","2007","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,542530.732,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2008","2008","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,550338.837,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2009","2009","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,549122.964,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2010","2010","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,548744.425,,
"GREENHOUSE","Greenhouse gas emissions","AUS","Australia","2011","2011","T_CO2_EQVT","Tonnes of CO2 equivalent","3","thousands",,,552286.443,,
"MATHTREND_T1C","All students","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-20.11523794,,
"MATHTREND_T1D","Boys","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-16.77777473,,
"MATHTREND_T1E","Girls","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-23.72883515,,
"MATHTREND_T1F","Share of students below proficiency Level 2","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,5.324547186,,
"MATHTREND_T1G","Share of students at proficiency Level 5 or above","AUS","Australia","2012","2012","AVGRW","Average growth rate","0","units",,,-4.965408113,,
"EVOPOP_T1","Population levels","AUS","Australia","2006","2006","HAB","Inhabitants","3","thousands",,,20697.88,,
"EVOPOP_T1","Population levels","AUS","Australia","2007","2007","HAB","Inhabitants","3","thousands",,,21016,,
"EVOPOP_T1","Population levels","AUS","Australia","2008","2008","HAB","Inhabitants","3","thousands",,,21384,,
"EVOPOP_T1","Population levels","AUS","Australia","2009","2009","HAB","Inhabitants","3","thousands",,,21779,,
"EVOPOP_T1","Population levels","AUS","Australia","2010","2010","HAB","Inhabitants","3","thousands",,,22065,,
"EVOPOP_T1","Population levels","AUS","Australia","2011","2011","HAB","Inhabitants","3","thousands",,,22324,,
"EVOPOP_T1","Population levels","AUS","Australia","2012","2012","HAB","Inhabitants","3","thousands",,,22684,,
"EVOPOP_T1","Population levels","AUS","Australia","2013","2013","HAB","Inhabitants","3","thousands",,,22976.37,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2006","2006","GRWH","Growth rate","0","units",,,1.48611,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2007","2007","GRWH","Growth rate","0","units",,,1.536969,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2008","2008","GRWH","Growth rate","0","units",,,1.751047,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2009","2009","GRWH","Growth rate","0","units",,,1.847175,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2010","2010","GRWH","Growth rate","0","units",,,1.313192,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2011","2011","GRWH","Growth rate","0","units",,,1.173805,,
"EVOPOP_T2","Population growth rates","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,1.612614,"B","Break"
"EVOPOP_T4","Working age population","AUS","Australia","2006","2006","PC","Percentage","0","units",,,67.42197,,
"EVOPOP_T4","Working age population","AUS","Australia","2007","2007","PC","Percentage","0","units",,,67.50095,,
"EVOPOP_T4","Working age population","AUS","Australia","2008","2008","PC","Percentage","0","units",,,67.60194,,
"EVOPOP_T4","Working age population","AUS","Australia","2009","2009","PC","Percentage","0","units",,,67.62019,,
"EVOPOP_T4","Working age population","AUS","Australia","2010","2010","PC","Percentage","0","units",,,67.53229,,
"EVOPOP_T4","Working age population","AUS","Australia","2011","2011","PC","Percentage","0","units",,,67.34904,,
"EVOPOP_T4","Working age population","AUS","Australia","2012","2012","PC","Percentage","0","units",,,67.02522,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2006","2006","CHLD","Children","0","units",,,1.82,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2007","2007","CHLD","Children","0","units",,,1.92,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2008","2008","CHLD","Children","0","units",,,1.96,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2009","2009","CHLD","Children","0","units",,,1.9,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2010","2010","CHLD","Children","0","units",,,1.89,,
"EVOPOP_T3","Total fertility rates","AUS","Australia","2011","2011","CHLD","Children","0","units",,,1.88,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2006","2006","PC","Percentage","0","units",,,19.56937,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2007","2007","PC","Percentage","0","units",,,19.37003,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2008","2008","PC","Percentage","0","units",,,19.20973,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2009","2009","PC","Percentage","0","units",,,19.0743,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2010","2010","PC","Percentage","0","units",,,18.94403,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2011","2011","PC","Percentage","0","units",,,18.87291,,
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,18.81943,"B","Break"
"AGEING_T1A","Youth population (under the age of 15)","AUS","Australia","2013","2013","PC","Percentage","0","units",,,18.69132,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2006","2006","PC","Percentage","0","units",,,13.00935,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2007","2007","PC","Percentage","0","units",,,13.13223,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2008","2008","PC","Percentage","0","units",,,13.18681,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2009","2009","PC","Percentage","0","units",,,13.30241,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2010","2010","PC","Percentage","0","units",,,13.52821,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2011","2011","PC","Percentage","0","units",,,13.77951,,
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2012","2012","PC","Percentage","0","units",,,14.15535,"B","Break"
"AGEING_T1B","Elderly population (age 65 and over)","AUS","Australia","2013","2013","PC","Percentage","0","units",,,14.71892,,
"MIGFORPOP_T1A","Foreign-born population","AUS","Australia","2011","2011","PC","Percentage","0","units",,,26.7,,
"NETMIGR_T1C","Permanent inflows by category of entry: accompanying family of workers","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,57.54485,,
"NETMIGR_T1E","Permanent inflows by category of entry: humanitarian","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,13.976,,
"NETMIGR_T1D","Permanent inflows by category of entry: family","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,54.708,,
"NETMIGR_T1B","Permanent inflows by category of entry: free movements","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,34.567,,
"NETMIGR_T1A","Permanent inflows by category of entry: work","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,56.18015,,
"NETMIGR_T1F","Permanent inflows by category of entry: Other","AUS","Australia","2011","2011","PER","Persons","3","thousands",,,2.502,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2007","2007","PC","Percentage","0","units",,,4.055,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2008","2008","PC","Percentage","0","units",,,4.03,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2009","2009","PC","Percentage","0","units",,,5.635,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2010","2010","PC","Percentage","0","units",,,5.264,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2011","2011","PC","Percentage","0","units",,,5.209,,
"MIGUNEMP_T1A","Unemployment rates of native-born populations: Men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.44,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2007","2007","PC","Percentage","0","units",,,4.334,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2008","2008","PC","Percentage","0","units",,,4.175,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2009","2009","PC","Percentage","0","units",,,6.495,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2010","2010","PC","Percentage","0","units",,,5.09,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2011","2011","PC","Percentage","0","units",,,4.612,,
"MIGUNEMP_T1B","Unemployment rates of foreign-born populations: Men","AUS","Australia","2012","2012","PC","Percentage","0","units",,,4.903,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2007","2007","PC","Percentage","0","units",,,4.608,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2008","2008","PC","Percentage","0","units",,,4.424,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2009","2009","PC","Percentage","0","units",,,5.021,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2010","2010","PC","Percentage","0","units",,,5.222,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2011","2011","PC","Percentage","0","units",,,5.194,,
"MIGUNEMP_T1C","Unemployment rates of native-born populations: Women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.226,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2007","2007","PC","Percentage","0","units",,,5.529,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2008","2008","PC","Percentage","0","units",,,5.239,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2009","2009","PC","Percentage","0","units",,,6.849,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2010","2010","PC","Percentage","0","units",,,6.112,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2011","2011","PC","Percentage","0","units",,,5.995,,
"MIGUNEMP_T1D","Unemployment rates of foreign-born populations: Women","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.996,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2007","2007","PC","Percentage","0","units",,,4.31,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2008","2008","PC","Percentage","0","units",,,4.212,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2009","2009","PC","Percentage","0","units",,,5.35,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2010","2010","PC","Percentage","0","units",,,5.245,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2011","2011","PC","Percentage","0","units",,,5.202,,
"MIGUNEMP_T1E","Unemployment rates of native-born populations: Total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.34,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2007","2007","PC","Percentage","0","units",,,4.86,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2008","2008","PC","Percentage","0","units",,,4.649,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2009","2009","PC","Percentage","0","units",,,6.653,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2010","2010","PC","Percentage","0","units",,,5.549,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2011","2011","PC","Percentage","0","units",,,5.232,,
"MIGUNEMP_T1F","Unemployment rates of foreign-born populations: Total","AUS","Australia","2012","2012","PC","Percentage","0","units",,,5.392,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2006","2006","USD","US Dollar","0","units",,,37039.14547,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2007","2007","USD","US Dollar","0","units",,,38862.42344,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2008","2008","USD","US Dollar","0","units",,,39164.63328,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2009","2009","USD","US Dollar","0","units",,,40613.19835,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2010","2010","USD","US Dollar","0","units",,,41644.96367,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2011","2011","USD","US Dollar","0","units",,,43208.08662,,
"SIZEGDP_T2","GDP per capita","AUS","Australia","2012","2012","USD","US Dollar","0","units",,,44407.02274,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2006","2006","GRWH","Growth rate","0","units",,,3.787990603,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2007","2007","GRWH","Growth rate","0","units",,,3.768927133,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2008","2008","GRWH","Growth rate","0","units",,,1.648159449,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2009","2009","GRWH","Growth rate","0","units",,,2.087575995,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2010","2010","GRWH","Growth rate","0","units",,,2.433201512,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2011","2011","GRWH","Growth rate","0","units",,,3.364370947,,
"EVOGDP_T1","Real GDP growth","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,3.680949887,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2006","2006","GRWH","Growth rate","0","units",,,5.070439478,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2007","2007","GRWH","Growth rate","0","units",,,9.615568093,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2008","2008","GRWH","Growth rate","0","units",,,2.103152843,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2009","2009","GRWH","Growth rate","0","units",,,1.949011429,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2010","2010","GRWH","Growth rate","0","units",,,3.803434407,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2011","2011","GRWH","Growth rate","0","units",,,10.0642542,,
"INVRATES_T1","Gross fixed capital formation","AUS","Australia","2012","2012","GRWH","Growth rate","0","units",,,8.923443984,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2006","2006","GRWH","Growth rate","0","units",,,4.47,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2007","2007","GRWH","Growth rate","0","units",,,4.66,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2008","2008","GRWH","Growth rate","0","units",,,2.26,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2009","2009","GRWH","Growth rate","0","units",,,0.98,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2010","2010","GRWH","Growth rate","0","units",,,6.31,,
"PRODULC_T1","Unit labour costs, total economy","AUS","Australia","2011","2011","GRWH","Growth rate","0","units",,,2.2,,
"LABCOMPENS_T1","Labour compensation per unit labour input, total economy","AUS","Australia","2006","2006","GRWH","Growth rate","0","units",,,5.44,,
"LABCOMPENS_T1","Labour compensation per unit labour input, total economy","AUS","Australia","2007","2007","GRWH","Growth rate","0","units",,,5.51,,
